id,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,home_link
42450,LGVO,closed,Volos Army Airport,112,EU,GR,GR-43,Volos,
325333,LGW,closed,Erase Me 24,,EU,GB,GB-ENG,,
4295,LGZA,medium_airport,"Zakynthos International Airport ""Dionysios Solomos""",15,EU,GR,GR-21,Zakynthos Island,https://www.zth-airport.gr
309204,LH0,small_airport,Hertelendy Kastely Field,469,EU,HU,HU-SO,Kutas,http://www.hotel-hertelendy.com/airfield_information
3261,LH58,closed,Csákvár Airport,1000,EU,HU,HU-FE,Csákvár,
43993,LHBA,closed,Balassagyarmat Airfield,466,EU,HU,HU-NO,Balassagyarmat,
29691,LHBC,small_airport,Békéscsaba Airfield,279,EU,HU,HU-BE,Békéscsaba,
317553,LHBF,small_airport,Bükfördö,545,EU,HU,HU-VA,Bö,
317377,LHBO,small_airport,Bácsbokod repülőtér,512,EU,HU,HU-BK,Bácsbokod,
4296,LHBP,large_airport,Budapest Liszt Ferenc International Airport,495,EU,HU,HU-PE,Budapest,http://www.bud.hu/english
29732,LHBS,small_airport,Budaörs Airfield,397,EU,HU,HU-BU,Budaörs,
317554,LHCL,small_airport,Cegléd,315,EU,HU,HU-PE,,
4297,LHDC,medium_airport,Debrecen International Airport,359,EU,HU,HU-HB,Debrecen,http://www.airportdebrecen.hu/
29831,LHDK,small_airport,Dunakeszi Airport,397,EU,HU,HU-PE,Dunakeszi,
29832,LHDV,small_airport,Dunaújváros Airfield,394,EU,HU,HU-FE,Dunaújváros,
43982,LHEC,small_airport,Érsekcsanád Airport,285,EU,HU,HU-BK,Érsekcsanád,
43033,LHEM,small_airport,Esztergom Airfield,342,EU,HU,HU-KE,Esztergom,
309451,LHER,small_airport,Eger Apollo Airfield,790,EU,HU,HU-HE,Eger,http://www.halley.hu
317555,LHFC,small_airport,Bodmér,492,EU,HU,HU-FE,,
43034,LHFH,small_airport,Farkashegy Airport,690,EU,HU,HU-PE,Farkashegy,
4298,LHFM,small_airport,Fertőszentmiklós Airport,440,EU,HU,HU-GS,Fertőszentmiklós,http://www.lhfm.hu/
318132,LHFP,small_airport,Piusz-Puszta,486,EU,HU,HU-GS,FERTŐRÁKOS,
31817,LHGD,small_airport,Gödöllő Airport,600,EU,HU,HU-PE,Gödöllő,
43980,LHGM,small_airport,Gyomai Airport,265,EU,HU,HU-BE,Gyomai,
309481,LHGR,small_airport,Gyúró Airport,640,EU,HU,HU-FE,Gyúró,
318133,LHGU,heliport,Győrújbarát Heliport,397,EU,HU,HU-GS,Győrújbarát,
43035,LHGY,small_airport,Gyöngyös Pipishegy Airport,1150,EU,HU,HU-HE,Gyöngyös Pipishegy,
43032,LHHH,small_airport,Hármashatárhegy Airport,960,EU,HU,HU-BU,Budapest,
29934,LHHO,small_airport,Hajdúszoboszló Airport,335,EU,HU,HU-HB,Hajdúszoboszló,
29987,LHJK,small_airport,Jakabszállás Airport,348,EU,HU,HU-BK,Jakabszállás,
43984,LHKC,heliport,Kecel Heliport,323,EU,HU,HU-BK,Kecel,
43036,LHKD,small_airport,Kecskéd Airport,570,EU,HU,HU-KE,Kecskéd,
4299,LHKE,medium_airport,Kecskemét Airport,376,EU,HU,HU-BK,Kecskemét,
30029,LHKH,small_airport,Kiskunfélegyháza Airport,289,EU,HU,HU-BK,Kiskunfélegyháza,
317552,LHKI,small_airport,Kiskőrös-Akasztó,305,EU,HU,HU-BK,Kiskőrös,
46653,lhkk,small_airport,Kiskunlacháza-airport,322,EU,HU,HU-PE,Budapest,http://www.kiskunlachaza-airport.hu
317557,LHKT,small_airport,Kadarkút,,EU,HU,HU-SO,,
30009,LHKV,small_airport,Kaposvar Kaposújlak Airport,499,EU,HU,HU-SO,Kaposújlak,
318135,LHLI,small_airport,Lipót,,EU,HU,HU-GS,,
30143,LHMC,small_airport,Miskolc Airport,390,EU,HU,HU-BZ,Miskolc,http://www.lhmc.hu/
29841,LHMR,small_airport,Maklár Airfield,407,EU,HU,HU-HE,Eger,
30178,LHNK,small_airport,Nagykanizsa Airport,466,EU,HU,HU-ZA,Nagykanizsa,
318136,LHNS,small_airport,Nagyszénás,,EU,HU,HU-BE,Nagyszénás,
4300,LHNY,small_airport,Nyíregyháza Airport,338,EU,HU,HU-SZ,Nyíregyháza,http://www.trenerkft.hu/
4301,LHOY,small_airport,Őcsény Airport,295,EU,HU,HU-TO,Őcsény,
325366,LHP,closed,Lehu Airport,1770,OC,PG,PG-NSB,Lehu,
30239,LHPA,small_airport,Pápa Air Base,466,EU,HU,HU-VE,Pápa,
4302,LHPP,medium_airport,Pécs-Pogány Airport,1000,EU,HU,HU-BA,Pécs-Pogány,http://www.airport-pecs.hu/
4303,LHPR,medium_airport,Győr-Pér International Airport,424,EU,HU,HU-GS,Győr,http://www.gyor-perairport.hu/index.php?displang=eng
329309,LHR,closed,marked as spam,,AS,AF,AF-U-A,,
4304,LHSA,small_airport,Szentkirályszabadja Airport,919,EU,HU,HU-VE,Szentkirályszabadja,
317532,LHSB,small_airport,Szabadszállás,,EU,HU,HU-BK,,
317567,LHSI,small_airport,Sitke,,EU,HU,HU-VA,,
29681,LHSK,small_airport,Siófok-Kiliti Airport,417,EU,HU,HU-SO,Siófok-Kiliti,http://www.bud.hu/english/about_us/siofok-kiliti_airport/
4305,LHSM,medium_airport,Sármellék International Airport,408,EU,HU,HU-ZA,Sármellék,http://www.flybalaton.com/?null&lang=en
4306,LHSN,medium_airport,Szolnok Air Base,322,EU,HU,HU-JN,Szolnok,
30457,LHSS,small_airport,Szolnok-Szandaszőlős Sport Airport,266,EU,HU,HU-JN,Szolnok-Szandaszőlős,
317566,LHSU,small_airport,Surjány,,EU,HU,HU-JN,,
30456,LHSY,small_airport,Szombathely Airfield,732,EU,HU,HU-VA,Szombathely,
30455,LHSZ,small_airport,Szentes Aerodrome,259,EU,HU,HU-CS,Szentes,
30003,LHTA,medium_airport,Taszár Air Base,531,EU,HU,HU-SO,Taszár,
317531,LHTE,closed,Terpes,,EU,HU,HU-HE,,
30488,LHTL,medium_airport,Tököl Airport,318,EU,HU,HU-PE,Tököl,http://www.lhtl.hu/
318137,LHTM,small_airport,Tápiószentmárton,,EU,HU,HU-PE,Tápiószentmárton,
